iter	MultiClass
250	0.37230323
251	0.371341857
252	0.3709363042
253	0.3703092986
254	0.3700347844
255	0.3697132229
256	0.3692250697
257	0.3688641869
258	0.3681026208
259	0.3668956681
260	0.3664133037
261	0.3653437871
262	0.3645970477
263	0.3640419614
264	0.3634669817
265	0.3630675815
266	0.3627264609
267	0.3616016042
268	0.3610000969
269	0.3603198288
270	0.3597988002
271	0.3591692693
272	0.3586540691
273	0.3577975723
274	0.3571427209
275	0.3567289446
276	0.3563064192
277	0.355728591
278	0.355445524
279	0.354616303
280	0.3541324173
281	0.3538649
282	0.3529245011
283	0.3525893986
284	0.3519793982
285	0.3513581735
286	0.3506734538
287	0.350152864
288	0.3496048948
289	0.3491396835
290	0.3487308947
291	0.3480877755
292	0.3476971896
293	0.3467662695
294	0.3465157411
295	0.3458796749
296	0.3453296487
297	0.3443534301
298	0.3436868867
299	0.3433622239
300	0.3430551045
301	0.3424649108
302	0.342184998
303	0.3415590931
304	0.3408998553
305	0.3405682678
306	0.3400789885
307	0.3398429323
308	0.3394455697
309	0.339003108
310	0.3382303638
311	0.3380392836
312	0.3374862881
313	0.3366932862
314	0.3360980131
315	0.3359248942
316	0.3353453006
317	0.3347490888
318	0.3343567704
